"DateTime","Number of sales","Sales USD"
"2018-07-24 00:00:00",1921,52700.32
"2018-07-25 00:00:00",2501,41785.36
"2018-07-26 00:00:00",3437,43231.96
"2018-07-27 00:00:00",4152,415914.41
"2018-07-28 00:00:00",3147,897554.15
"2018-07-29 00:00:00",2248,31039.04
"2018-07-30 00:00:00",1862,174032.52
"2018-07-31 00:00:00",2074,94238.64
"2018-08-01 00:00:00",2561,34298.78
"2018-08-02 00:00:00",2369,232997.82
"2018-08-03 00:00:00",1777,46501.82
"2018-08-04 00:00:00",2017,53924.62
"2018-08-05 00:00:00",1847,57943.15
"2018-08-06 00:00:00",1621,44456.4
"2018-08-07 00:00:00",1421,53035.08
"2018-08-08 00:00:00",1484,34417.11
"2018-08-09 00:00:00",1409,33352.42
"2018-08-10 00:00:00",1494,21382.68
"2018-08-11 00:00:00",1877,20741.5
"2018-08-12 00:00:00",2454,25962.73
"2018-08-13 00:00:00",2732,34957.13
"2018-08-14 00:00:00",3404,79449.84
"2018-08-15 00:00:00",3433,64870.93
"2018-08-16 00:00:00",3804,51302.36
"2018-08-17 00:00:00",5230,58486.46
"2018-08-18 00:00:00",6685,92924.76
"2018-08-19 00:00:00",7233,75946.47
"2018-08-20 00:00:00",3748,49445.24
"2018-08-21 00:00:00",3760,82862.01
"2018-08-22 00:00:00",2658,51656.48
"2018-08-23 00:00:00",4318,101021.22
"2018-08-24 00:00:00",5402,94287.34
"2018-08-25 00:00:00",5112,158728.44
"2018-08-26 00:00:00",3938,50036.36
"2018-08-27 00:00:00",5094,63957.16
"2018-08-28 00:00:00",4274,79851.72
"2018-08-29 00:00:00",5092,69833.79
"2018-08-30 00:00:00",8430,67857.82
"2018-08-31 00:00:00",10761,83026.63
"2018-09-01 00:00:00",9682,79942.56
"2018-09-02 00:00:00",8213,75985.58
"2018-09-03 00:00:00",7420,76046.56
"2018-09-04 00:00:00",5083,226498.94
"2018-09-05 00:00:00",5714,94924.39
"2018-09-06 00:00:00",7389,52242.61
"2018-09-07 00:00:00",8078,76353.62
"2018-09-08 00:00:00",6189,98538.9
"2018-09-09 00:00:00",9233,88396.84
"2018-09-10 00:00:00",8159,150423.95
"2018-09-11 00:00:00",10949,80551.55
"2018-09-12 00:00:00",9916,159895.45
"2018-09-13 00:00:00",4506,163448.12
"2018-09-14 00:00:00",4829,147185.34
"2018-09-15 00:00:00",3824,103339.34
"2018-09-16 00:00:00",3321,177235.77
